date,value
2024-10-01,276.78
2024-09-01,278.76
2024-08-01,261.44
2024-07-01,257.1
2024-06-01,248.4
2024-05-01,232.34
2024-04-01,239.87
2024-03-01,208.91
2024-02-01,208.78
2024-01-01,203.88
2023-12-01,210.31
2023-11-01,197.43
2023-10-01,183.95
2023-09-01,183.59
2023-08-01,186.35
2023-07-01,193.49
2023-06-01,207.38
2023-05-01,220.12
2023-04-01,229.96
2023-03-01,222.66
2023-02-01,229.51
2023-01-01,206.76
2022-12-01,210.39
2022-11-01,213.72
2022-10-01,240.08
2022-09-01,267.49
2022-08-01,268.48
2022-07-01,255.91
2022-06-01,273.76
2022-05-01,260.45
2022-04-01,265.4
2022-03-01,258.99
2022-02-01,279.83
2022-01-01,271.08
2021-12-01,268.33
2021-11-01,258.98
2021-10-01,241.07
2021-09-01,225.54
2021-08-01,216.43
2021-07-01,204.5
2021-06-01,192.06
2021-05-01,186.46
2021-04-01,168.65
2021-03-01,167.05
2021-02-01,166.43
2021-01-01,160.82
2020-12-01,157.95
2020-11-01,150.73
2020-10-01,152.06
2020-09-01,166.56
2020-08-01,163.07
2020-07-01,146.78
2020-06-01,141.52
2020-05-01,149.92
2020-04-01,154.63
2020-03-01,148.33
2020-02-01,135.5
2020-01-01,142.94
2019-12-01,156.03
2019-11-01,140.98
2019-10-01,127.05
2019-09-01,128.89
2019-08-01,126.28
2019-07-01,135.47
2019-06-01,129.72
2019-05-01,120.55
2019-04-01,120.99
2019-03-01,123.89
2019-02-01,128.45
2019-01-01,128.36
2018-12-01,127.06
2018-11-01,137.11
2018-10-01,137.34
2018-09-01,121.18
2018-08-01,125.21
2018-07-01,130.6
2018-06-01,134.03
2018-05-01,135.61
2018-04-01,134.34
2018-03-01,134.94
2018-02-01,136.28
2018-01-01,138.88
2017-12-01,137.31
2017-11-01,140.9
2017-10-01,140.71
2017-09-01,146.56
2017-08-01,149.88
2017-07-01,149.8
2017-06-01,143.22
2017-05-01,150.0
2017-04-01,155.57
2017-03-01,160.15
2017-02-01,166.35
2017-01-01,168.61
2016-12-01,161.78
2016-11-01,184.12
2016-10-01,178.96
2016-09-01,176.3
2016-08-01,167.54
2016-07-01,171.76
2016-06-01,165.45
2016-05-01,155.19
2016-04-01,154.22
2016-03-01,157.63
2016-02-01,147.7
2016-01-01,145.43
2015-12-01,148.61
2015-11-01,147.98
2015-10-01,153.25
2015-09-01,146.15
2015-08-01,156.92
2015-07-01,154.45
2015-06-01,159.76
2015-05-01,158.48
2015-04-01,164.0
2015-03-01,160.74
2015-02-01,178.89
2015-01-01,189.63
2014-12-01,193.39
2014-11-01,209.38
2014-10-01,225.29
2014-09-01,210.53
2014-08-01,212.97
2014-07-01,196.9
2014-06-01,197.89
2014-05-01,214.2
2014-04-01,223.49
2014-03-01,214.09
2014-02-01,173.64
2014-01-01,132.52
2013-12-01,125.74
2013-11-01,122.02
2013-10-01,128.7
2013-09-01,132.28
2013-08-01,135.15
2013-07-01,138.39
2013-06-01,138.26
2013-05-01,147.19
2013-04-01,149.79
2013-03-01,149.81
2013-02-01,149.46
2013-01-01,157.04
2012-12-01,152.71
2012-11-01,159.91
2012-10-01,173.32
2012-09-01,178.98
2012-08-01,174.82
2012-07-01,190.45
2012-06-01,168.69
2012-05-01,184.36
2012-04-01,191.45
2012-03-01,201.26
2012-02-01,224.16
2012-01-01,237.21
2011-12-01,236.3
2011-11-01,245.09
2011-10-01,247.82
2011-09-01,274.88
2011-08-01,270.44
2011-07-01,268.02
2011-06-01,274.98
2011-05-01,291.07
2011-04-01,300.48
2011-03-01,292.07
2011-02-01,288.39
2011-01-01,263.77
2010-12-01,249.44
2010-11-01,233.51
2010-10-01,217.44
2010-09-01,222.71
2010-08-01,211.59
2010-07-01,203.21
2010-06-01,190.9
2010-05-01,173.37
2010-04-01,169.39
2010-03-01,164.5
2010-02-01,157.86
2010-01-01,158.66
2009-12-01,157.94
2009-11-01,152.21
2009-10-01,154.57
2009-09-01,148.51
2009-08-01,149.76
2009-07-01,140.9
2009-06-01,149.78
2009-05-01,150.49
2009-04-01,135.08
2009-03-01,128.52
2009-02-01,129.48
2009-01-01,127.81
2008-12-01,118.79
2008-11-01,121.89
2008-10-01,123.59
2008-09-01,143.27
2008-08-01,146.43
2008-07-01,147.36
2008-06-01,146.15
2008-05-01,142.04
2008-04-01,140.7
2008-03-01,149.22
2008-02-01,157.29
2008-01-01,139.82
2007-12-01,138.04
2007-11-01,131.05
2007-10-01,134.29
2007-09-01,128.04
2007-08-01,123.15
2007-07-01,117.63
2007-06-01,119.33
2007-05-01,113.33
2007-04-01,114.69
2007-03-01,117.08
2007-02-01,122.03
2007-01-01,124.69
2006-12-01,128.36
2006-11-01,122.27
2006-10-01,110.63
2006-09-01,109.83
2006-08-01,111.73
2006-07-01,105.0
2006-06-01,103.15
2006-05-01,109.63
2006-04-01,115.34
2006-03-01,113.66
2006-02-01,119.12
2006-01-01,124.2
2005-12-01,105.92
2005-11-01,107.74
2005-10-01,105.1
2005-09-01,99.49
2005-08-01,108.2
2005-07-01,109.93
2005-06-01,121.16
2005-05-01,128.4
2005-04-01,129.53
2005-03-01,134.78
2005-02-01,120.83
2005-01-01,107.16
2004-12-01,104.39
2004-11-01,90.27
2004-10-01,80.55
2004-09-01,80.47
2004-08-01,73.61
2004-07-01,74.97
2004-06-01,82.21
2004-05-01,77.44
2004-04-01,75.54
2004-03-01,78.06
2004-02-01,76.23
2004-01-01,72.03
2003-12-01,64.88
2003-11-01,62.28
2003-10-01,64.28
2003-09-01,66.41
2003-08-01,63.89
2003-07-01,62.95
2003-06-01,61.05
2003-05-01,66.1
2003-04-01,64.69
2003-03-01,61.75
2003-02-01,66.41
2003-01-01,65.38
2002-12-01,63.66
2002-11-01,69.87
2002-10-01,65.73
2002-09-01,60.67
2002-08-01,54.36
2002-07-01,56.48
2002-06-01,58.56
2002-05-01,61.46
2002-04-01,65.34
2002-03-01,64.07
2002-02-01,59.12
2002-01-01,58.24
2001-12-01,56.59
2001-11-01,58.85
2001-10-01,56.37
2001-09-01,58.27
2001-08-01,59.33
2001-07-01,58.94
2001-06-01,63.85
2001-05-01,69.63
2001-04-01,66.0
2001-03-01,66.67
2001-02-01,67.28
2001-01-01,65.65
2000-12-01,65.9
2000-11-01,71.39
2000-10-01,76.76
2000-09-01,75.84
2000-08-01,79.3
2000-07-01,87.66
2000-06-01,86.89
2000-05-01,91.51
2000-04-01,94.65
2000-03-01,100.65
2000-02-01,104.04
2000-01-01,111.85
1999-12-01,123.17
1999-11-01,112.45
1999-10-01,92.76
1999-09-01,84.52
1999-08-01,91.5
1999-07-01,95.79
1999-06-01,108.12
1999-05-01,111.35
1999-04-01,102.83
1999-03-01,105.13
1999-02-01,104.76
1999-01-01,114.23
1998-12-01,117.06
1998-11-01,116.12
1998-10-01,109.39
1998-09-01,112.94
1998-08-01,123.65
1998-07-01,116.94
1998-06-01,126.66
1998-05-01,138.94
1998-04-01,150.26
1998-03-01,158.39
1998-02-01,178.37
1998-01-01,176.91
1997-12-01,176.78
1997-11-01,160.31
1997-10-01,169.15
1997-09-01,190.86
1997-08-01,191.1
1997-07-01,190.16
1997-06-01,226.76
1997-05-01,265.61
1997-04-01,205.44
1997-03-01,193.41
1997-02-01,166.33
1997-01-01,131.23
1996-12-01,116.89
1996-11-01,123.91
1996-10-01,123.78
1996-09-01,119.81
1996-08-01,125.51
1996-07-01,123.7
1996-06-01,125.03
1996-05-01,129.6
1996-04-01,121.88
1996-03-01,120.81
1996-02-01,124.78
1996-01-01,107.96
1995-12-01,106.37
1995-11-01,125.26
1995-10-01,127.09
1995-09-01,137.14
1995-08-01,150.99
1995-07-01,140.3
1995-06-01,158.6
1995-05-01,173.25
1995-04-01,173.24
1995-03-01,179.21
1995-02-01,167.48
1995-01-01,171.09
1994-12-01,162.26
1994-11-01,188.12
1994-10-01,207.31
1994-09-01,218.68
1994-08-01,199.14
1994-07-01,201.41
1994-06-01,133.36
1994-05-01,117.17
1994-04-01,90.94
1994-03-01,87.01
1994-02-01,83.2
1994-01-01,79.58
1993-12-01,82.55
1993-11-01,79.24
1993-10-01,76.64
1993-09-01,81.12
1993-08-01,76.19
1993-07-01,70.48
1993-06-01,63.19
1993-05-01,61.66
1993-04-01,58.41
1993-03-01,64.68
1993-02-01,67.44
1993-01-01,71.82
1992-12-01,75.14
1992-11-01,52.51
1992-10-01,50.83
1992-09-01,51.67
1992-08-01,53.35
1992-07-01,58.35
1992-06-01,59.45
1992-05-01,60.8
1992-04-01,66.52
1992-03-01,69.89
1992-02-01,69.3
1992-01-01,73.03
1991-12-01,75.1
1991-11-01,78.52
1991-10-01,79.86
1991-09-01,87.45
1991-08-01,81.62
1991-07-01,82.81
1991-06-01,85.5
1991-05-01,87.59
1991-04-01,92.27
1991-03-01,93.72
1991-02-01,89.57
1991-01-01,86.32
1990-12-01,89.89
1990-11-01,84.84
1990-10-01,91.41
1990-09-01,94.92
1990-08-01,94.42
1990-07-01,86.48
1990-06-01,88.26
1990-05-01,92.02
1990-04-01,93.73
1990-03-01,93.96
1990-02-01,84.01
1990-01-01,75.83
