date,value
2024-10-01,189.59
2024-09-01,183.66
2024-08-01,169.3
2024-07-01,177.77
2024-06-01,191.24
2024-05-01,201.02
2024-04-01,190.9
2024-03-01,190.23
2024-02-01,188.95
2024-01-01,198.76
2023-12-01,207.4
2023-11-01,209.04
2023-10-01,221.9
2023-09-01,223.85
2023-08-01,207.68
2023-07-01,235.27
2023-06-01,266.94
2023-05-01,268.17
2023-04-01,291.18
2023-03-01,284.96
2023-02-01,298.25
2023-01-01,302.84
2022-12-01,302.24
2022-11-01,320.93
2022-10-01,343.55
2022-09-01,312.55
2022-08-01,293.93
2022-07-01,312.68
2022-06-01,335.72
2022-05-01,344.91
2022-04-01,348.51
2022-03-01,335.93
2022-02-01,292.67
2022-01-01,276.72
2021-12-01,264.57
2021-11-01,248.77
2021-10-01,239.6
2021-09-01,235.82
2021-08-01,257.02
2021-07-01,278.45
2021-06-01,292.52
2021-05-01,304.3
2021-04-01,268.62
2021-03-01,245.76
2021-02-01,245.55
2021-01-01,231.75
2020-12-01,199.18
2020-11-01,190.63
2020-10-01,186.77
2020-09-01,166.6
2020-08-01,149.39
2020-07-01,152.59
2020-06-01,148.04
2020-05-01,143.99
2020-04-01,147.01
2020-03-01,162.18
2020-02-01,168.74
2020-01-01,171.81
2019-12-01,167.06
2019-11-01,166.36
2019-10-01,167.3
2019-09-01,157.37
2019-08-01,163.63
2019-07-01,189.49
2019-06-01,195.17
2019-05-01,171.18
2019-04-01,161.65
2019-03-01,166.32
2019-02-01,169.66
2019-01-01,166.85
2018-12-01,167.49
2018-11-01,160.88
2018-10-01,160.37
2018-09-01,154.95
2018-08-01,162.52
2018-07-01,156.55
2018-06-01,165.14
2018-05-01,179.18
2018-04-01,175.6
2018-03-01,172.08
2018-02-01,163.46
2018-01-01,155.92
2017-12-01,149.09
2017-11-01,148.79
2017-10-01,148.72
2017-09-01,147.32
2017-08-01,148.54
2017-07-01,157.61
2017-06-01,157.97
2017-05-01,158.6
2017-04-01,156.54
2017-03-01,158.98
2017-02-01,162.96
2017-01-01,160.01
2016-12-01,152.73
2016-11-01,151.33
2016-10-01,152.62
2016-09-01,148.51
2016-08-01,150.22
2016-07-01,161.82
2016-06-01,179.91
2016-05-01,169.0
2016-04-01,164.47
2016-03-01,159.23
2016-02-01,159.72
2016-01-01,161.1
2015-12-01,164.0
2015-11-01,166.09
2015-10-01,171.45
2015-09-01,166.08
2015-08-01,162.74
2015-07-01,179.61
2015-06-01,166.81
2015-05-01,166.35
2015-04-01,172.15
2015-03-01,174.29
2015-02-01,173.76
2015-01-01,174.79
2014-12-01,178.71
2014-11-01,178.71
2014-10-01,163.38
2014-09-01,163.13
2014-08-01,176.48
2014-07-01,182.29
2014-06-01,202.63
2014-05-01,216.98
2014-04-01,222.43
2014-03-01,222.39
2014-02-01,209.36
2014-01-01,198.77
2013-12-01,197.55
2013-11-01,199.18
