date,value
2024-10-01,22.36
2024-09-01,20.62
2024-08-01,18.42
2024-07-01,19.35
2024-06-01,19.17
2024-05-01,18.8
2024-04-01,20.65
2024-03-01,21.77
2024-02-01,23.34
2024-01-01,22.47
2023-12-01,22.15
2023-11-01,27.31
2023-10-01,26.9
2023-09-01,26.56
2023-08-01,24.19
2023-07-01,24.01
2023-06-01,24.76
2023-05-01,25.73
2023-04-01,24.58
2023-03-01,20.96
2023-02-01,21.4
2023-01-01,19.94
2022-12-01,20.07
2022-11-01,19.41
2022-10-01,18.3
2022-09-01,18.19
2022-08-01,18.06
2022-07-01,18.34
2022-06-01,18.79
2022-05-01,19.28
2022-04-01,19.7
2022-03-01,19.11
2022-02-01,18.2
2022-01-01,18.46
2021-12-01,19.17
2021-11-01,19.75
2021-10-01,19.62
2021-09-01,19.26
2021-08-01,19.38
2021-07-01,17.71
2021-06-01,17.21
2021-05-01,17.2
2021-04-01,16.24
2021-03-01,15.81
2021-02-01,17.0
2021-01-01,15.92
2020-12-01,14.67
2020-11-01,14.93
2020-10-01,14.29
2020-09-01,12.44
2020-08-01,12.81
2020-07-01,11.9
2020-06-01,11.83
2020-05-01,10.64
2020-04-01,10.05
2020-03-01,11.8
2020-02-01,15.07
2020-01-01,14.17
2019-12-01,13.34
2019-11-01,12.69
2019-10-01,12.46
2019-09-01,11.16
2019-08-01,11.56
2019-07-01,12.13
2019-06-01,12.44
2019-05-01,11.82
2019-04-01,12.54
2019-03-01,12.47
2019-02-01,12.93
2019-01-01,12.68
2018-12-01,12.55
2018-11-01,12.79
2018-10-01,13.18
2018-09-01,10.78
2018-08-01,10.46
2018-07-01,11.16
2018-06-01,12.06
2018-05-01,11.83
2018-04-01,11.82
2018-03-01,12.83
2018-02-01,13.57
2018-01-01,13.98
2017-12-01,14.43
2017-11-01,14.97
2017-10-01,14.23
2017-09-01,13.93
2017-08-01,13.8
2017-07-01,14.12
2017-06-01,13.53
2017-05-01,15.69
2017-04-01,16.32
2017-03-01,18.06
2017-02-01,20.41
2017-01-01,20.54
2016-12-01,18.83
2016-11-01,20.87
2016-10-01,22.92
2016-09-01,21.35
2016-08-01,20.01
2016-07-01,19.69
2016-06-01,19.34
2016-05-01,16.68
2016-04-01,15.0
2016-03-01,15.43
2016-02-01,13.31
2016-01-01,14.29
2015-12-01,14.76
2015-11-01,14.84
2015-10-01,14.14
2015-09-01,12.14
2015-08-01,10.67
2015-07-01,11.88
2015-06-01,12.11
2015-05-01,12.7
2015-04-01,12.91
2015-03-01,12.84
2015-02-01,14.51
2015-01-01,15.06
2014-12-01,14.99
2014-11-01,15.88
2014-10-01,16.48
2014-09-01,16.54
2014-08-01,17.72
2014-07-01,18.73
2014-06-01,18.24
2014-05-01,18.24
2014-04-01,18.21
2014-03-01,17.89
2014-02-01,16.89
2014-01-01,15.71
2013-12-01,16.54
2013-11-01,17.75
2013-10-01,18.81
2013-09-01,17.62
2013-08-01,17.24
2013-07-01,17.1
2013-06-01,16.96
2013-05-01,17.43
2013-04-01,17.66
2013-03-01,18.34
2013-02-01,18.21
2013-01-01,18.85
2012-12-01,19.2
2012-11-01,19.31
2012-10-01,20.39
2012-09-01,20.21
2012-08-01,20.56
2012-07-01,22.76
2012-06-01,20.1
2012-05-01,20.27
2012-04-01,22.48
2012-03-01,23.79
2012-02-01,23.42
2012-01-01,24.02
2011-12-01,23.42
2011-11-01,24.52
2011-10-01,26.3
2011-09-01,26.64
2011-08-01,28.87
2011-07-01,29.47
2011-06-01,24.92
2011-05-01,21.84
2011-04-01,23.9
2011-03-01,25.9
2011-02-01,29.31
2011-01-01,29.74
2010-12-01,28.04
2010-11-01,26.42
2010-10-01,26.94
2010-09-01,22.67
2010-08-01,18.6
2010-07-01,17.69
2010-06-01,16.3
2010-05-01,15.1
2010-04-01,16.89
2010-03-01,18.15
2010-02-01,21.98
2010-01-01,21.91
2009-12-01,24.9
2009-11-01,22.77
2009-10-01,23.16
2009-09-01,23.45
2009-08-01,21.72
2009-07-01,17.8
2009-06-01,16.58
2009-05-01,15.47
2009-04-01,13.47
2009-03-01,12.93
2009-02-01,13.31
2009-01-01,12.24
2008-12-01,11.32
2008-11-01,11.83
2008-10-01,11.7
2008-09-01,14.02
2008-08-01,13.68
2008-07-01,13.21
2008-06-01,12.07
2008-05-01,10.93
2008-04-01,12.52
2008-03-01,12.88
2008-02-01,13.61
2008-01-01,11.66
2007-12-01,10.45
2007-11-01,9.9
2007-10-01,9.99
2007-09-01,9.85
2007-08-01,9.61
2007-07-01,9.9
2007-06-01,9.26
2007-05-01,9.09
2007-04-01,9.59
2007-03-01,10.37
2007-02-01,10.57
2007-01-01,10.9
2006-12-01,11.7
2006-11-01,11.73
2006-10-01,11.51
2006-09-01,12.31
2006-08-01,12.98
2006-07-01,15.86
2006-06-01,15.69
2006-05-01,16.9
2006-04-01,17.46
2006-03-01,17.08
2006-02-01,18.05
2006-01-01,16.19
2005-12-01,13.93
2005-11-01,11.81
2005-10-01,11.61
2005-09-01,10.81
2005-08-01,9.88
2005-07-01,9.6
2005-06-01,9.03
2005-05-01,8.51
2005-04-01,8.53
2005-03-01,8.9
2005-02-01,9.32
2005-01-01,8.92
2004-12-01,8.8
2004-11-01,8.67
2004-10-01,8.96
2004-09-01,8.67
2004-08-01,7.88
2004-07-01,8.17
2004-06-01,7.51
2004-05-01,6.62
2004-04-01,6.86
2004-03-01,6.5
2004-02-01,5.87
2004-01-01,6.03
2003-12-01,6.34
2003-11-01,6.19
2003-10-01,6.1
2003-09-01,6.27
2003-08-01,6.71
2003-07-01,6.73
2003-06-01,6.4
2003-05-01,7.01
2003-04-01,7.26
2003-03-01,7.84
2003-02-01,8.35
2003-01-01,7.89
2002-12-01,7.51
2002-11-01,7.3
2002-10-01,7.02
2002-09-01,6.41
2002-08-01,5.86
2002-07-01,5.79
2002-06-01,5.25
2002-05-01,5.61
2002-04-01,5.18
2002-03-01,5.92
2002-02-01,5.68
2002-01-01,7.31
2001-12-01,7.41
2001-11-01,7.28
2001-10-01,6.6
2001-09-01,7.16
2001-08-01,7.9
2001-07-01,8.54
2001-06-01,8.74
2001-05-01,8.96
2001-04-01,8.05
2001-03-01,8.72
2001-02-01,9.36
2001-01-01,10.06
2000-12-01,9.72
2000-11-01,9.51
2000-10-01,10.41
2000-09-01,9.86
2000-08-01,10.6
2000-07-01,9.64
2000-06-01,8.33
2000-05-01,6.78
2000-04-01,6.01
2000-03-01,5.11
2000-02-01,5.35
2000-01-01,5.63
1999-12-01,5.98
1999-11-01,6.5
1999-10-01,6.75
1999-09-01,6.67
1999-08-01,5.72
1999-07-01,5.38
1999-06-01,6.04
1999-05-01,5.75
1999-04-01,5.42
1999-03-01,6.03
1999-02-01,6.82
1999-01-01,8.11
1998-12-01,8.08
1998-11-01,8.06
1998-10-01,7.46
1998-09-01,7.23
1998-08-01,8.48
1998-07-01,8.62
1998-06-01,8.1
1998-05-01,9.23
1998-04-01,9.68
1998-03-01,9.84
1998-02-01,10.72
1998-01-01,11.52
1997-12-01,12.33
1997-11-01,12.01
1997-10-01,11.38
1997-09-01,11.33
1997-08-01,11.7
1997-07-01,11.57
1997-06-01,11.43
1997-05-01,11.13
1997-04-01,11.3
1997-03-01,11.14
1997-02-01,10.81
1997-01-01,10.69
1996-12-01,10.74
1996-11-01,10.72
1996-10-01,11.12
1996-09-01,11.92
1996-08-01,12.37
1996-07-01,12.81
1996-06-01,12.17
1996-05-01,11.38
1996-04-01,11.98
1996-03-01,12.9
1996-02-01,12.82
1996-01-01,12.53
1995-12-01,12.31
1995-11-01,11.98
1995-10-01,11.84
1995-09-01,11.69
1995-08-01,12.98
1995-07-01,13.59
1995-06-01,14.02
1995-05-01,13.52
1995-04-01,13.61
1995-03-01,14.59
1995-02-01,14.41
1995-01-01,14.8
1994-12-01,14.67
1994-11-01,13.93
1994-10-01,12.76
1994-09-01,12.59
1994-08-01,12.09
1994-07-01,11.77
1994-06-01,12.05
1994-05-01,11.58
1994-04-01,11.01
1994-03-01,11.73
1994-02-01,10.82
1994-01-01,10.3
1993-12-01,10.52
1993-11-01,10.07
1993-10-01,10.29
1993-09-01,9.54
1993-08-01,9.34
1993-07-01,9.68
1993-06-01,10.4
1993-05-01,11.83
1993-04-01,11.15
1993-03-01,10.62
1993-02-01,8.56
1993-01-01,8.24
1992-12-01,8.15
1992-11-01,8.56
1992-10-01,8.71
1992-09-01,9.31
1992-08-01,9.86
1992-07-01,10.31
1992-06-01,10.35
1992-05-01,9.61
1992-04-01,9.46
1992-03-01,8.25
1992-02-01,7.84
1992-01-01,8.42
1991-12-01,9.0
1991-11-01,8.63
1991-10-01,9.13
1991-09-01,9.3
1991-08-01,9.59
1991-07-01,10.32
1991-06-01,9.2
1991-05-01,7.59
1991-04-01,8.51
1991-03-01,9.14
1991-02-01,8.51
1991-01-01,8.8
1990-12-01,9.74
1990-11-01,10.06
1990-10-01,9.39
1990-09-01,11.02
1990-08-01,10.93
1990-07-01,12.0
1990-06-01,12.97
1990-05-01,14.62
1990-04-01,15.24
1990-03-01,15.31
1990-02-01,14.65
1990-01-01,14.2
