date,value
2024-10-01,197.37
2024-09-01,188.51
2024-08-01,175.51
2024-07-01,183.23
2024-06-01,205.23
2024-05-01,227.43
2024-04-01,208.38
2024-03-01,211.84
2024-02-01,219.24
2024-01-01,226.08
2023-12-01,229.63
2023-11-01,216.0
2023-10-01,216.46
2023-09-01,229.39
2023-08-01,241.41
2023-07-01,278.62
2023-06-01,282.28
2023-05-01,299.44
2023-04-01,312.81
2023-03-01,309.43
2023-02-01,332.41
2023-01-01,320.1
2022-12-01,323.65
2022-11-01,344.33
2022-10-01,353.71
2022-09-01,346.32
2022-08-01,323.02
2022-07-01,321.98
2022-06-01,397.65
2022-05-01,444.16
2022-04-01,406.03
2022-03-01,387.67
2022-02-01,347.5
2022-01-01,326.08
2021-12-01,324.02
2021-11-01,317.44
2021-10-01,294.04
2021-09-01,269.73
2021-08-01,274.88
2021-07-01,243.63
2021-06-01,238.77
2021-05-01,278.45
2021-04-01,239.94
2021-03-01,229.89
2021-02-01,240.81
2021-01-01,237.94
2020-12-01,217.31
2020-11-01,210.75
2020-10-01,203.43
2020-09-01,204.14
2020-08-01,174.18
2020-07-01,170.57
2020-06-01,169.72
2020-05-01,174.95
2020-04-01,179.75
2020-03-01,170.87
2020-02-01,172.23
2020-01-01,178.24
2019-12-01,165.25
2019-11-01,157.53
2019-10-01,153.22
2019-09-01,146.57
2019-08-01,149.36
2019-07-01,163.88
2019-06-01,174.7
2019-05-01,158.28
2019-04-01,159.03
2019-03-01,164.51
2019-02-01,177.92
2019-01-01,188.84
2018-12-01,188.54
2018-11-01,181.55
2018-10-01,188.46
2018-09-01,191.14
2018-08-01,211.29
2018-07-01,196.81
2018-06-01,193.08
2018-05-01,192.7
2018-04-01,180.38
2018-03-01,180.92
2018-02-01,172.29
2018-01-01,156.39
2017-12-01,147.1
2017-11-01,138.05
2017-10-01,133.34
2017-09-01,138.41
2017-08-01,139.05
2017-07-01,174.53
2017-06-01,157.25
2017-05-01,146.44
2017-04-01,138.41
2017-03-01,146.43
2017-02-01,147.36
2017-01-01,137.15
2016-12-01,122.85
2016-11-01,122.55
2016-10-01,122.56
2016-09-01,123.25
2016-08-01,127.9
2016-07-01,133.71
2016-06-01,156.7
2016-05-01,157.56
2016-04-01,163.39
2016-03-01,164.06
2016-02-01,159.28
2016-01-01,164.61
2015-12-01,163.89
2015-11-01,157.8
2015-10-01,165.45
2015-09-01,164.07
2015-08-01,173.52
2015-07-01,199.22
2015-06-01,199.84
2015-05-01,193.22
2015-04-01,195.93
2015-03-01,202.69
2015-02-01,201.74
2015-01-01,213.02
2014-12-01,234.86
2014-11-01,215.99
2014-10-01,210.72
2014-09-01,211.17
2014-08-01,229.16
2014-07-01,238.55
2014-06-01,261.65
2014-05-01,287.91
2014-04-01,276.38
2014-03-01,275.61
2014-02-01,242.8
2014-01-01,229.98
2013-12-01,246.11
2013-11-01,259.78
2013-10-01,278.15
2013-09-01,257.5
2013-08-01,258.93
2013-07-01,257.47
2013-06-01,266.85
2013-05-01,276.05
2013-04-01,264.17
2013-03-01,263.34
2013-02-01,271.68
2013-01-01,288.21
2012-12-01,303.04
2012-11-01,319.46
2012-10-01,318.41
2012-09-01,316.65
2012-08-01,315.55
2012-07-01,310.75
2012-06-01,241.97
2012-05-01,228.88
2012-04-01,228.09
2012-03-01,243.49
2012-02-01,245.98
2012-01-01,243.7
2011-12-01,236.06
2011-11-01,244.54
2011-10-01,251.59
2011-09-01,272.34
2011-08-01,288.69
2011-07-01,271.46
2011-06-01,285.3
2011-05-01,307.19
2011-04-01,307.25
2011-03-01,285.38
2011-02-01,317.6
